strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Uganda/605/2022,EPI_ISL_15718820,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/USA/CO-CDPHE-2103720059/2022,EPI_ISL_16310955,Colorado Department of Public Health and Environment,Colorado Department of Public Health and Environment,"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Arianna Smith, Haikel N. Bogale, Shannon R. Matzinger, Emily A. Travanty"
hCoV-19/South Africa/NICD-N51595/2023,EPI_ISL_16698560,VERMAAK,National Institute for Communicable Diseases of the National Health Laboratory Service,"Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/Thailand/NIC_BKK_588/2023,EPI_ISL_16925006,Bumrungrad International Hospital,"National Institute of Health, Department of Medical Sciences, Ministry of Public Health, Thailand",Pilailuk Okada; Siripaporn Phuygun; Nuttida Thongpramul; Nalun Chaichanyut; Titichaya Mebuathong; Sarochar Sritumpawa; Pakorn Piromtong; Thanutsapa Thanadachakul; Archawin Rojanawiwat.
hCoV-19/Uganda/611/2022,EPI_ISL_15718824,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/Iceland/L-3754/2023,EPI_ISL_17069170,Landspitali Department of Clinical Microbiology,Landspitali Department of Clinical Microbiology,"Freyja Valsdottir, Zarko Urosevic, Brynja Armannsdottir, Karl Gustaf Kristinsson, Magnus Mani Saemundarson, Marta Mekarska, Kari Mar Asdisarson"
hCoV-19/Uganda/610/2022,EPI_ISL_15718823,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/Uganda/608/2022,EPI_ISL_15718822,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/Zambia/CHAZ-CHS2988/2022,EPI_ISL_17162474,National Influenza Center (NIC),Churches Health Association of Zambia (CHAZ) Laboratory,"Shempela. D, Sikalima. J, Yankonde. B, Muyombo. A, Sandala. D, Chipango. C, CHAZ Lab Staff"
hCoV-19/Philippines/PGCV_0037_3591/2022,EPI_ISL_16019482,Western Visayas Medical Center Sub National Laboratory,PHILIPPINE GENOME CENTER VISAYAS,"Dr. Cynthia P. Saloma, Dr. Victor Marco Emmanuel Ferriols, Dr. Stephanie Abello, Cecilia Resol, Eugenie Marie Almira, Christine Ann Aromin, Andrea Danica Bernas, Nadine Belas, Marj Gem Bunda, Nadalene Faith Cartago, Alex Cayanan, Kneessa Louie Dato-on, Vanessa Joy Diamante, Sherill Garcia, Ma. Carmel Javier, Claire Samantha Juanico, Anne Maglocot, Steven Mark Mosura, Daisybelle Pelingon, Julia Theresa Regalado, Amie Marie Tingson, Marlon John Varon, Jasmine Velo"
hCoV-19/Curacao/CW-RIVM-121956/2022,EPI_ISL_16445569,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Morocco/IPM20432487/2022,EPI_ISL_16259293,"Institut Pasteur du Maroc, Medical Virology and BSL3 Laboratory","Institut Pasteur du Maroc, Centre de Séquençage Génomique","EL Hamouchi Adil, Charoute Hicham, Harmak Houda, Anga Latifa, Faouzi Abdellah, El Oualid Abdelmjid, Nourlil Jalal, Maaroufi Abderrahmane, Barakat Abdelhamid"
hCoV-19/Vietnam/Long_An-V70/2021,EPI_ISL_16034620,Pasteur Institute in Ho Chi Minh city Department of Microbiology and Immunology,Molecular Genetic Monitoring Group,"Thang Minh Cao, Anna S. Gladkikh, Ekaterina O. Klyuchnikova, Tatiana Arbuzova, Margarita R. Popova, Valerya A. Sbarzaglia, Thang Minh Cao, Nadezhda Tsyganova, Th Vladimir G. Dedkov, Areg A.Totolian, Thuong Vu Nguyen"
hCoV-19/Philippines/PGCV_0037_3585/2022,EPI_ISL_16019486,Western Visayas Medical Center Sub National Laboratory,PHILIPPINE GENOME CENTER VISAYAS,"Dr. Cynthia P. Saloma, Dr. Victor Marco Emmanuel Ferriols, Dr. Stephanie Abello, Cecilia Resol, Eugenie Marie Almira, Christine Ann Aromin, Andrea Danica Bernas, Nadine Belas, Marj Gem Bunda, Nadalene Faith Cartago, Alex Cayanan, Kneessa Louie Dato-on, Vanessa Joy Diamante, Sherill Garcia, Ma. Carmel Javier, Claire Samantha Juanico, Anne Maglocot, Steven Mark Mosura, Daisybelle Pelingon, Julia Theresa Regalado, Amie Marie Tingson, Marlon John Varon, Jasmine Velo"
hCoV-19/USA/NH-CDCBI-CRSP_OVUNN5JXBYXIR6M4/2022,EPI_ISL_15888404,Broad Institute Clinical Research Sequencing Platform,"Infectious Disease Program, Broad Institute of Harvard and MIT","Siddle, K.J., Adams, G., Pearlman, L., Gladden-Young, A., Vicente, G., Blumenstiel, B., DeFelice, M., Lee, M., McGovern, S., Lagerborg, K., Rudy, M., DeRuff, K., Carter, A., Normandin, E., Bauer, M., Reilly, S., Tomkins-Tinch, C., Loreth, C., Chaluvadi, S., Meldrim, J., Granger, B., Lemieux, J.E., Birren, B.W., Sabeti, P.C., Larkin, K., Dodge, S., Lennon, N., Madoff, L., Brown, C., Gallagher, G., Smole, S., Park, D.J., Gabriel, S., and MacInnis, B.L."
hCoV-19/Indonesia/JI-ITD-58485NT/2022,EPI_ISL_15349326,National Hospital,"Institute of Tropical Disease, Universitas Airlangga","Kazufumi Shimizu, Krisnoadi Rahardjo, Aldise M Nastri, Jezzy R Dewantari, Rima R Prasetya, Erwin Ashta Triyono, Joni Wahyuhadi, Gatot Soegiarto, Laksmi Wulandari, Resti Yudhawati, Yasuko Mori, Soetjipto, Maria I Lusida"
hCoV-19/USA/AL-CDC-STM-K4MEU69NX/2022,EPI_ISL_15804371,Helix,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Helix CA, Shatavia Morrison, Christopher Gulvick, Erisa Sula, Clinton Paden, Duncan MacCannell"
hCoV-19/Aruba/AW-RIVM-121940/2022,EPI_ISL_16445584,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Serbia/K911782-10/2022,EPI_ISL_16317143,Huo-yan national laboratory for molecular detection of infectious agents Belgrade,Institute of Molecular Genetics and Genetic Engineering University of Belgrade,"Valentina Djordjevic, Snežana Jovanović, Stefan Stanovcic, Katarina Novovic, Marija Cumbo, Milka Malesevic, Sandra Vojnovic, Natasa Radakovic, Mina Peric, Anita Skakic, Natasa Stevanovic, Sofija Nesic, Bojan Ristivojevic, Andriana Lazic, Ivana Moric, Maja Tolinacki, Mirjana Novkovic"
hCoV-19/New Zealand/22MV2542/2022,EPI_ISL_13437089,Middlemore Hospital,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Ana Claasen, Subin Jeon, Amy Bradhsaw, Bethany Forsythe, Joep de Ligt"
hCoV-19/Scotland/QEUH-3A7B5FF/2022,EPI_ISL_11286856,Lighthouse Lab in Glasgow,Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium,"Harper VanSteenhouse, Yumi Kasai, David Gray, Carol Clugston, Anna Dominiczak and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team"
hCoV-19/Bonaire/BQ-RIVM-118245/2022,EPI_ISL_15913613,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Canada/ON_SHSC-01/2020,EPI_ISL_450747,Sunnybrook Health Sciences Centre,"Department of Laboratory Medicine and Molecular Diagnostics, Sunnybrook Health Sciences Centre","Jalees A. Nasir, Robert A. Kozak, Patryk Aftanas, Amogelang R. Raphenya, Kendrick M. Smith, Finlay Maguire, Hassaan Maan, Muhannad Alruwaili, Arinjay Banerjee, Hamza Mbareche, Brian P. Alcock, Natalie C. Knox, Karen Mossman, Bo Wang, Julian A. Hiscox, Andrew G. McArthur, Samira Mubareka"
hCoV-19/Zambia/CHAZ-CHS2974/2023,EPI_ISL_17162469,Churches Health Association of Zambia (CHAZ),Churches Health Association of Zambia (CHAZ) Laboratory,"Shempela. D, Sikalima. J, Yankonde. B, Muyombo. A, Sandala. D, Chipango. C, CHAZ Lab Staff"
hCoV-19/Mexico/BCS_IBT_IMSS_076055LCE_NC/2022,EPI_ISL_14226151,Laboratorio Central de Epidemiología (LCE),Instituto de Biotecnología de la UNAM,"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Kathia Elizabeth Tapia-Diaz, Gloria Vazquez, Joel Armando Vázquez-Pérez)."
hCoV-19/Uganda/657/2022,EPI_ISL_15718857,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/Poland/2212-037_wsselodz/2022,EPI_ISL_16076497,Wielkopolskie Centrum Pulmonologii i Torakochirurgii im. Eugenii i Janusza Zeylandow,"Wojewodzka Stacja Sanitarno-Epidemiologiczna w Lodzi, Oddzial Laboratoryjny Mikrobiologii i Parazytologii","Elian Terpo, Szymon Konkolewski, Marta Gawronska, Martyna Matera, Agnieszka Karnowska, Danuta Bartczak, Katarzyna Kosowska, Lucyna Kochanowska, Aleksandra Krawczyk"
hCoV-19/Nepal/NPHL-S-1927/2022,EPI_ISL_15920391,HAMS hospital,National Public Health Laboratory,National Public Health Laboratory Team /HAMS Hospital
hCoV-19/Mexico/HID_IBT_IMSS_5337/2021,EPI_ISL_8825860,Laboratorio Central de Epidemiología (LCE),Instituto de Biotecnología de la UNAM,"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Kathia Elizabeth Tapia-Diaz, Gloria Vazquez, Joel Armando Vázquez-Pérez)."
hCoV-19/New Zealand/22CH0609/2022,EPI_ISL_9210584,Canterbury Health Laboratories,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt"
hCoV-19/Jordan/RMS-R14S22/2022,EPI_ISL_16968187,Jordan Royal Medical Services Mobile biological lab,Jordan Royal Medical Services Genomics Core Lab,"Dr. Rame Hamdi khasawneh, Dr.Shereen Mhairat, Ali Alhuniti, Osama Alshdaifat, Mohammad Barmawi, Abdullah Almuhasen, Alanood Alhabashnah, Lena Hajayah"
hCoV-19/Jordan/RMS-R14S23/2022,EPI_ISL_16968188,Jordan Royal Medical Services Mobile biological lab,Jordan Royal Medical Services Genomics Core Lab,"Dr. Rame Hamdi khasawneh, Dr.Shereen Mhairat, Ali Alhuniti, Osama Alshdaifat, Mohammad Barmawi, Abdullah Almuhasen, Alanood Alhabashnah, Lena Hajayah"
hCoV-19/Nepal/CDBT-TU-QC4809/2021,EPI_ISL_6963487,National Public Health Laboratory,"Central Department Of Biotechnology, Tribhuvan University",Krishna Das Manandhar
hCoV-19/Colombia/DC-UNIANDES-G043154/2022,EPI_ISL_15953270,Gencore - Universidad de los Andes,Gencore - Universidad de los Andes,"Brigithe Ortiz, Daniel Sarmiento, Luis Fuentes, David González, Felipe Baez, Daniela Naranjo, Mariana Restrepo, Maria Fernanda Ortiz, Marcela Guevara, Silvia Restrepo, Marcela Mercado"
hCoV-19/South Africa/NICD-N52241/2023,EPI_ISL_16856215,LANCET,National Institute for Communicable Diseases of the National Health Laboratory Service,"Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/USA/NV-CDC-STM-NFZBNRPQZ/2022,EPI_ISL_15323129,Helix,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Helix CA, Shatavia Morrison, Christopher Gulvick, Erisa Sula, Clinton Paden, Duncan MacCannell"
hCoV-19/Aruba/AW-RIVM-123069/2022,EPI_ISL_16445594,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/South Africa/NHLS-UCT-GS-AE52/2021,EPI_ISL_6436432,Plettenberg Bay Clinic wc PLC,NHLS/UCT,"Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Gert Marais, Diana Hardie, Stephen Korsman, Rageema Joseph, Carolyn Williamson"
hCoV-19/Malaysia/IMR_LF02649/2023,EPI_ISL_17256784,Kuala Lumpur Hospital,"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia","Kamel K, Suppiah J, Azizan MA, Ramly N, Robert F, Anasir MI, Ahmad Fazilah NA, Ahmad FA, Norhisham SN, Mohamad Sukri MZ, Rosli NR, Thayan R"
hCoV-19/Russia/ME-RII-MH120904S/2022,EPI_ISL_16286869,Zvenigovo Central District Hospital,WHO National Influenza Centre Russian Federation,"Andrey Komissarov, Artem Fadeev, Kseniya Komissarova, Oula Mansour, Kirill Varchenko, Mikhail Bakaev, Tamila Musaeva, Veronika Eder, Maria Pisareva, Nikita Yolshin, Anna Ivanova, Margarita Korzhanova, Andrey Ksenafontov, Petr Nekrasov, Aleksandra Zamnius, Daria Danilenko, Ksenia Safina, Elena Nabieva, Georgii Bazykin, Dmitry Lioznov"
hCoV-19/Chile/AP-131651/2022,EPI_ISL_16639789,Genetica Molecular and Subdepartamento de Virologia ISP Chile,Instituto de Salud Publica de Chile,"Mariela Guajardo, Constanza Campano, Marcelo Rojas, Paulo covarrubias, Barbara Parra, Patricia Bustos, Rodrigo Fasce, Andres Castillo, Matias Pezoa, Ivan Ponce, Jorge Fernandez"
hCoV-19/Micronesia/Y-H2320152/2023,EPI_ISL_17074977,"Yap Department of Health Services, Yap Hospital Laboratory","State Laboratories Division, Hawaii State Department of Health","Pamela O'Brien, Drew Kuwazaki, Ayana Garnet, Samantha Cotter, Cheyenne Barela, Cheryl-lynn Daquip, Mark Nagata, Samantha Sruba, Jeffrey Au, Briana Ofilas, Remedios Gose, Daniel Strange, Edward Desmond"
hCoV-19/Ecuador/USFQ-4413/2022,EPI_ISL_15484003,"Institute of Microbiology, Universidad San Francisco de Quito","Institute of Microbiology, Universidad San Francisco de Quito","Belén Prado-Vivar, Erika B. Muñoz, Mateo Carvajal, Sully Márquez, Rommel Guevara, Fernanda Zurita, Bernardo Gutiérrez, Julisa Burgos, Verónica Barragán, Patricio Rojas-Silva, Gabriel Trueba, Michelle Grunauer, Paúl Cárdenas"
hCoV-19/Curacao/CW-RIVM-118253/2022,EPI_ISL_15913621,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Jordan/RMS-R14S29/2022,EPI_ISL_16968193,Jordan Royal Medical Services Mobile biological lab,Jordan Royal Medical Services Genomics Core Lab,"Dr. Rame Hamdi khasawneh, Dr.Shereen Mhairat, Ali Alhuniti, Osama Alshdaifat, Mohammad Barmawi, Abdullah Almuhasen, Alanood Alhabashnah, Lena Hajayah"
hCoV-19/Israel/SMC-7107442/2022,EPI_ISL_15678163,Shamir Medical Center (Asaf Harofe),Shamir Medical Center (Asaf Harofe),"Nir Rainy, Chen Weiner, Yevgeni Yegorov, Anna Shor, Alona Frenkel, Patricia Benveniste-Lekovitz, Abu Hamad Ramzia, Adina Bar Chaim"
hCoV-19/Canada/MB-CPL-586018/2023,EPI_ISL_16869238,MB-Cadham Provincial laboratory,Manitoba Cadham Provincial Laboratory,"David Alexander, Ayo Bolaji, Brooke Cistarelli, Adam Hedley, Kerry Dust"
hCoV-19/Dominican Republic/2094406-LNSPDD/2022,EPI_ISL_15932366,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/Mexico/GUA_InDRE_FB22419_E11319675213_S15525/2022,EPI_ISL_16083605,LESP Guanajuato,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ruth Madera-Sandoval, Joaquin Quiroz-Mercado, Susana Serrano-Gutierrez, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Fernando Gonzalez-Dominguez, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."
hCoV-19/Oman/723726/2023,EPI_ISL_17026451,Central Public Health Laboratories-Sultanat of Oman,Central Public Health Laboratories-Sultanat of Oman,"Yathrib Al Zakwani, Samiha Al Kharusi, Aisha Al Amri, Laila Al Balushi, Intisar Al Shukri, Amina Al Jardani, Hanan Al Kindi"
hCoV-19/Oman/723824/2023,EPI_ISL_17026458,Central Public Health Laboratories-Sultanat of Oman,Central Public Health Laboratories-Sultanat of Oman,"Yathrib Al Zakwani, Samiha Al Kharusi, Aisha Al Amri, Laila Al Balushi, Intisar Al Shukri, Amina Al Jardani, Hanan Al Kindi"
hCoV-19/Jordan/RMS-R14S33/2022,EPI_ISL_16968196,Jordan Royal Medical Services Mobile biological lab,Jordan Royal Medical Services Genomics Core Lab,"Dr. Rame Hamdi khasawneh, Dr.Shereen Mhairat, Ali Alhuniti, Osama Alshdaifat, Mohammad Barmawi, Abdullah Almuhasen, Alanood Alhabashnah, Lena Hajayah"
hCoV-19/Jordan/RMS-R14S35/2022,EPI_ISL_16968197,Jordan Royal Medical Services Mobile biological lab,Jordan Royal Medical Services Genomics Core Lab,"Dr. Rame Hamdi khasawneh, Dr.Shereen Mhairat, Ali Alhuniti, Osama Alshdaifat, Mohammad Barmawi, Abdullah Almuhasen, Alanood Alhabashnah, Lena Hajayah"
hCoV-19/Cote d'Ivoire/IPCI-DVE-COV836268/2022,EPI_ISL_15851167,Departement of Epidemic Viruses,Departement of Epidemic Viruses Institut Pasteur of CotedIvoire Abidjan,"Hervé Albéric Adje Kadjo, Yakoura Karidja Ouattara, Aboubacar Sylla, Venance Luc Kouakou, Marius Adagba, Jacques Danho Monney, Edgard valéry Adjogoua; Mireille DOSSO"
hCoV-19/Nepal/NPHL-S-1916/2022,EPI_ISL_15920380,National Public Health Laboratory,National Public Health Laboratory,National Public Health Laboratory Team
hCoV-19/Curacao/CW-RIVM-122993/2022,EPI_ISL_16445589,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Mauritius/N52274/2022,EPI_ISL_17095895,Central Health Laboratory,National Institute for Communicable Diseases of the National Health Laboratory Service,"Magalutcheemee R, Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N"
hCoV-19/Singapore/R19MR175/2023,EPI_ISL_17207341,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases","Yichen Ding, Benny Yeo, Grace Ngan, Zhenyang Zhou, Royce Ang, Samuel Loo, BeiBei Chen, Jesslin Tan, Chen Shi Ling, Lin Cui, Raymond Tzer Pin Lin"
